"","tag_deploy_id","tag_id","sensor_deploy_id","burst_interval","mfg_id","date","project_id","project_name","n_hits","english_name","test"
"1",0,0,3051,NA,NA,2017-05-17,NA,NA,16,NA,NA
"2",7785,18383,3051,14.8952,"218",2016-05-27,57,"SELVA Colombia",5,"Gray-cheeked Thrush",FALSE
"3",11586,18581,3051,19.8947,"8",2017-09-25,90,"Gerson - Apalachicola Florida",53,"Swainson's Thrush",FALSE
"4",11586,18581,3051,19.8947,"8",2017-09-26,90,"Gerson - Apalachicola Florida",17,"Swainson's Thrush",FALSE
"5",6183,19149,3051,10.0952,"384",2016-09-01,68,"Arctic Shorebirds - CWS Yellowknife",10,"White-rumped Sandpiper",FALSE
"6",6593,19531,3051,10.0952,"498",2016-09-01,66,"EBM_Coats (#66)",4,"White-rumped Sandpiper",FALSE
"7",7876,19763,3051,10.696,"162",2016-06-01,47,"Red Knot Staging and Migration Ecology",11,"Ruddy Turnstone",FALSE
"8",7935,19823,3051,10.6957,"222",2016-06-04,47,"Red Knot Staging and Migration Ecology",4,"Sanderling",FALSE
"9",9196,21024,3051,8.8961,"18",2016-09-09,71,"Migration and dispersal of bats at Lake Erie",27,"Silver-haired Bat",FALSE
"10",10871,21768,3051,10.6957,"94",2016-10-01,49,"Thrush post-breeding ecology in Quebec",20,"Swainson's Thrush",FALSE
"11",10853,21823,3051,5.2978,"462",2016-10-04,49,"Thrush post-breeding ecology in Quebec",167,"Swainson's Thrush",FALSE
"12",10853,21823,3051,5.2978,"462",2016-10-08,49,"Thrush post-breeding ecology in Quebec",165,"Swainson's Thrush",FALSE
"13",14346,22528,3051,14.8948,"344",2017-09-06,37,"Wheeler - Loggerhead Shrike",9,"Loggerhead Shrike",FALSE
"14",10338,22657,3051,10.0953,"192",2016-09-02,38,"James Bay Shorebirds",51,"Least Sandpiper",FALSE
"15",10352,22673,3051,10.0951,"208",2016-09-01,38,"James Bay Shorebirds",18,"Semipalmated Sandpiper",FALSE
"16",10394,22723,3051,10.0952,"258",2016-09-01,38,"James Bay Shorebirds",22,"White-rumped Sandpiper",FALSE
"17",10407,22745,3051,10.0953,"280",2016-09-01,38,"James Bay Shorebirds",27,"White-rumped Sandpiper",FALSE
"18",10410,22749,3051,10.0952,"284",2016-09-01,38,"James Bay Shorebirds",31,"White-rumped Sandpiper",FALSE
"19",10458,22870,3051,5.2978,"274.1",2016-10-22,38,"James Bay Shorebirds",107,"Pectoral Sandpiper",FALSE
"20",10460,22872,3051,5.2978,"276.1",2016-10-30,38,"James Bay Shorebirds",44,"Pectoral Sandpiper",FALSE
"21",11601,22983,3051,17.8953,"31",2017-05-29,270,"Selva - Swainson's Thrush - Colombia",27,"Swainson's Thrush",FALSE
"22",16506,23297,3051,12.6952,"044",2018-05-15,90,"Gerson - Apalachicola Florida",20,"Northern Waterthrush",FALSE
"23",11447,23544,3051,8.8965,"5",2017-05-18,71,"Migration and dispersal of bats at Lake Erie",7,"Silver-haired Bat",FALSE
"24",11020,23594,3051,5.2977,"62",2017-05-20,140,"SCDNR Shorebirds",149,"Red Knot",FALSE
